Time,dominant_wave_period,max_wave_height,mean_wave_direction,significant_wave_height,mean_wave_direction_spread
2010-07-13 11:00,5.7,1.60,109.50,1.02,22.00
2010-07-13 12:00,5.7,1.41,112.50,0.95,24.00
2010-07-13 13:00,5.6,1.78,110.50,0.98,24.00
2010-07-13 14:00,5.6,1.98,106.50,1.06,23.00
2010-07-13 15:00,5.7,2.22,109.50,1.09,25.00
2010-07-13 16:00,4.7,1.96,102.50,1.19,27.00
2010-07-13 17:00,6.3,1.98,110.50,1.20,27.00
2010-07-13 18:00,5.9,1.96,111.50,1.31,27.00
2010-07-13 19:00,4.9,2.20,102.50,1.38,26.00
2010-07-13 20:00,5.6,2.80,105.50,1.63,28.00
2010-07-13 21:00,6.1,2.26,107.50,1.51,26.00
2010-07-13 22:00,6.1,2.38,104.50,1.49,25.00
2010-07-13 23:00,5.7,2.04,106.50,1.36,27.00
2010-07-14 00:00,6.5,2.29,111.50,1.33,26.00
2010-07-14 01:00,6.9,2.17,111.50,1.30,23.00
2010-07-14 02:00,5.6,1.80,113.50,1.21,26.00
2010-07-14 03:00,6.7,2.98,109.50,1.44,25.00
2010-07-14 04:00,6.3,2.26,110.50,1.34,25.00
2010-07-14 05:00,6.5,2.27,108.50,1.17,25.00
2010-07-14 06:00,6.9,2.25,111.50,1.32,25.00
2010-07-14 07:00,6.5,2.15,115.50,1.24,25.00
2010-07-14 08:00,6.5,1.87,113.50,1.30,21.00
2010-07-14 09:00,6.7,2.43,114.50,1.25,22.00
2010-07-14 10:00,6.9,2.66,113.50,1.40,23.00
2010-07-14 11:00,7.1,2.18,111.50,1.44,22.00
2010-07-14 12:00,6.7,2.19,111.50,1.27,24.00
2010-07-14 13:00,7.1,2.31,110.50,1.41,25.00
2010-07-14 14:00,6.7,2.19,112.50,1.46,24.00
2010-07-14 15:00,7.1,2.28,113.50,1.51,25.00
2010-07-14 16:00,6.9,2.39,109.50,1.41,26.00
2010-07-14 17:00,7.1,2.60,111.50,1.62,24.00
2010-07-14 18:00,6.5,2.38,111.50,1.54,26.00
2010-07-14 19:00,6.5,2.27,109.50,1.59,25.00
2010-07-14 20:00,5.6,2.55,111.50,1.54,27.00
2010-07-14 21:00,6.3,2.47,110.50,1.45,27.00
2010-07-14 22:00,7.1,2.64,111.50,1.51,24.00
2010-07-14 23:00,6.5,2.08,112.50,1.42,25.00
2010-07-15 00:00,5.9,2.04,112.50,1.28,28.00
2010-07-15 01:00,6.9,2.21,112.50,1.26,25.00
2010-07-15 02:00,6.5,2.18,112.50,1.24,24.00
2010-07-15 03:00,6.5,1.99,113.50,1.28,24.00
2010-07-15 04:00,5.9,1.96,114.50,1.17,26.00
2010-07-15 05:00,7.4,2.27,111.50,1.30,25.00
2010-07-15 06:00,6.3,2.14,113.50,1.21,26.00
2010-07-15 07:00,6.5,1.97,113.50,1.28,23.00
2010-07-15 08:00,5.9,2.03,113.50,1.37,20.00
2010-07-15 09:00,6.5,3.10,113.50,1.44,23.00
2010-07-15 10:00,6.1,2.14,107.50,1.42,23.00
2010-07-15 11:00,6.3,2.28,109.50,1.32,22.00
2010-07-15 12:00,6.7,2.53,112.50,1.29,23.00
2010-07-15 13:00,7.1,2.13,114.50,1.25,27.00
2010-07-15 14:00,6.9,1.97,110.50,1.17,28.00
2010-07-15 15:00,6.5,2.05,114.50,1.17,25.00
2010-07-15 16:00,6.5,1.87,115.50,1.13,26.00
2010-07-15 17:00,6.1,2.17,110.50,1.36,26.00
2010-07-15 18:00,5.9,2.18,113.50,1.39,29.00
2010-07-15 19:00,5.9,2.31,108.50,1.34,25.00
2010-07-15 20:00,6.3,2.35,114.50,1.35,26.00
2010-07-15 21:00,6.5,2.29,111.50,1.54,25.00
2010-07-15 22:00,6.3,1.82,115.50,1.25,27.00
2010-07-15 23:00,5.7,2.47,104.50,1.37,27.00
2010-07-16 00:00,5.9,2.02,108.50,1.24,26.00
2010-07-16 01:00,6.1,2.01,109.50,1.03,25.00
2010-07-16 02:00,6.1,2.28,111.50,1.13,24.00
2010-07-16 03:00,6.1,1.89,111.50,1.11,25.00
2010-07-16 04:00,6.3,1.61,110.50,1.05,24.00
2010-07-16 05:00,6.9,1.93,111.50,1.18,20.00
2010-07-16 06:00,7.1,2.05,111.50,1.08,22.00
2010-07-16 07:00,6.5,1.97,111.50,1.12,23.00
2010-07-16 08:00,6.9,1.86,108.50,1.27,20.00
2010-07-16 09:00,5.6,1.91,109.50,1.22,23.00
2010-07-16 10:00,6.1,2.38,110.50,1.35,24.00
2010-07-16 11:00,6.3,2.54,98.50,1.39,27.00
2010-07-16 12:00,6.5,2.04,101.50,1.36,23.00
2010-07-16 13:00,6.1,1.99,104.50,1.25,28.00
2010-07-16 14:00,6.1,1.81,101.50,1.17,23.00
2010-07-16 15:00,6.7,1.52,104.50,1.04,26.00
2010-07-16 16:00,5.7,1.59,109.50,1.00,27.00
2010-07-16 17:00,5.7,1.71,107.50,0.93,27.00
2010-07-16 18:00,5.9,1.38,109.50,0.98,24.00
2010-07-16 19:00,6.1,1.52,110.50,1.03,27.00
2010-07-16 20:00,5.0,1.49,111.50,0.93,27.00
2010-07-16 21:00,5.4,1.39,111.50,0.92,24.00
2010-07-16 22:00,4.8,1.63,106.50,0.94,28.00
2010-07-16 23:00,6.1,1.31,107.50,0.85,31.00
2010-07-17 00:00,6.7,1.27,104.50,0.82,31.00
2010-07-17 01:00,5.3,1.07,110.50,0.72,32.00
2010-07-17 02:00,5.9,1.08,115.50,0.70,32.00
2010-07-17 03:00,9.1,1.21,112.50,0.72,33.00
2010-07-17 04:00,9.5,1.12,115.50,0.70,32.00
2010-07-17 05:00,5.1,1.17,112.50,0.76,30.00
2010-07-17 06:00,5.9,1.49,104.50,0.79,30.00
2010-07-17 07:00,4.7,1.35,111.50,0.85,28.00
2010-07-17 08:00,5.0,1.50,112.50,0.88,31.00
2010-07-17 09:00,5.9,1.77,106.50,1.07,29.00
2010-07-17 10:00,5.3,2.28,107.50,1.31,24.00
2010-07-17 11:00,5.6,2.35,103.50,1.41,27.00
2010-07-17 12:00,5.6,2.69,101.50,1.79,27.00
2010-07-17 13:00,6.5,3.33,100.50,1.63,28.00
2010-07-17 14:00,6.5,2.06,106.50,1.31,28.00
2010-07-17 15:00,5.7,2.38,113.50,1.18,29.00
2010-07-17 16:00,6.1,3.00,120.50,1.80,31.00
2010-07-17 17:00,6.1,2.73,113.50,1.61,27.00
2010-07-17 18:00,6.5,2.45,111.50,1.70,28.00
2010-07-17 19:00,7.1,2.78,116.50,1.61,29.00
2010-07-17 20:00,7.1,2.98,121.50,1.97,27.00
2010-07-17 21:00,7.1,3.41,122.50,1.90,28.00
2010-07-17 22:00,8.0,3.50,128.50,2.30,28.00
2010-07-17 23:00,7.1,2.97,129.50,2.03,28.00
2010-07-18 00:00,6.7,2.87,128.50,1.88,29.00
2010-07-18 01:00,7.1,3.09,125.50,1.78,26.00
2010-07-18 02:00,6.3,2.43,129.50,1.59,27.00
2010-07-18 03:00,7.1,3.10,127.50,1.36,33.00
2010-07-18 04:00,6.7,1.98,123.50,1.21,32.00
2010-07-18 05:00,6.5,1.81,123.50,1.19,31.00
2010-07-18 06:00,6.3,1.64,115.50,1.14,33.00
2010-07-18 07:00,6.5,1.68,116.50,1.08,30.00
2010-07-18 08:00,6.7,1.76,115.50,1.14,29.00
2010-07-18 09:00,6.5,1.79,118.50,1.09,30.00
2010-07-18 10:00,6.1,2.06,115.50,1.13,24.00
2010-07-18 11:00,5.9,1.68,115.50,1.16,27.00
2010-07-18 12:00,6.5,1.82,113.50,1.16,28.00
2010-07-18 13:00,6.9,2.09,109.50,1.12,30.00
2010-07-18 14:00,6.5,1.50,111.50,1.00,32.00
2010-07-18 15:00,5.7,1.54,115.50,0.93,32.00
2010-07-18 16:00,6.7,1.83,114.50,0.86,30.00
2010-07-18 17:00,4.0,1.90,110.50,1.11,31.00
2010-07-18 18:00,5.1,2.03,111.50,1.12,32.00
2010-07-18 19:00,5.7,2.12,112.50,1.11,30.00
2010-07-18 20:00,5.4,1.93,108.50,1.22,31.00
2010-07-18 21:00,5.6,2.28,107.50,1.42,27.00
2010-07-18 22:00,5.4,2.61,105.50,1.43,28.00
2010-07-18 23:00,5.3,2.13,104.50,1.26,28.00
2010-07-19 00:00,5.4,1.93,110.50,1.15,26.00
2010-07-19 01:00,5.9,1.86,113.50,1.11,27.00
2010-07-19 02:00,5.9,1.37,112.50,0.94,31.00
2010-07-19 03:00,5.7,1.46,111.50,0.97,28.00
2010-07-19 04:00,5.6,1.48,107.50,0.96,27.00
2010-07-19 05:00,5.7,1.72,106.50,0.98,24.00
2010-07-19 06:00,6.3,1.92,110.50,0.95,24.00
2010-07-19 07:00,6.3,1.63,107.50,1.05,25.00
2010-07-19 08:00,6.3,2.02,112.50,1.16,23.00
2010-07-19 09:00,6.7,1.88,109.50,1.22,21.00
2010-07-19 10:00,6.1,2.19,109.50,1.19,23.00
2010-07-19 11:00,5.6,2.01,111.50,1.13,25.00
2010-07-19 12:00,6.1,1.73,110.50,1.16,24.00
2010-07-19 13:00,5.4,1.81,109.50,1.13,30.00
2010-07-19 14:00,5.1,2.00,110.50,1.00,25.00
2010-07-19 15:00,5.3,1.35,112.50,0.86,30.00
2010-07-19 16:00,5.9,1.59,114.50,0.92,28.00
2010-07-19 17:00,5.4,1.41,112.50,0.77,30.00
2010-07-19 18:00,5.7,1.10,109.50,0.76,32.00
2010-07-19 19:00,5.0,1.19,109.50,0.80,30.00
2010-07-19 20:00,6.1,1.20,108.50,0.78,31.00
2010-07-19 21:00,4.5,1.49,109.50,0.90,31.00
2010-07-19 22:00,4.7,1.80,108.50,1.00,30.00
2010-07-19 23:00,5.6,1.67,107.50,1.05,25.00
2010-07-20 00:00,4.7,1.49,109.50,1.01,26.00
2010-07-20 01:00,5.3,1.66,109.50,0.96,25.00
2010-07-20 02:00,4.5,1.64,108.50,0.87,25.00
2010-07-20 03:00,5.4,1.45,109.50,0.94,23.00
2010-07-20 04:00,6.5,1.30,107.50,0.82,26.00
2010-07-20 05:00,5.6,1.62,109.50,0.96,24.00
2010-07-20 06:00,5.0,1.35,110.50,0.92,24.00
2010-07-20 07:00,5.7,1.45,107.50,0.90,21.00
2010-07-20 08:00,5.9,2.08,101.50,1.07,23.00
2010-07-20 09:00,6.1,1.96,106.50,1.13,25.00
2010-07-20 10:00,5.9,1.71,105.50,1.05,25.00
2010-07-20 11:00,5.7,1.64,100.50,1.01,25.00
2010-07-20 12:00,4.3,1.76,104.50,1.14,27.00
2010-07-20 13:00,6.3,1.93,106.50,1.13,28.00
2010-07-20 14:00,5.9,1.89,111.50,1.09,27.00
2010-07-20 15:00,5.6,1.90,108.50,1.03,25.00
2010-07-20 16:00,6.3,1.69,110.50,0.84,27.00
2010-07-20 17:00,6.5,1.39,110.50,0.93,23.00
2010-07-20 18:00,6.1,1.31,110.50,0.87,23.00
2010-07-20 19:00,6.7,1.23,111.50,0.84,25.00
2010-07-20 20:00,5.0,1.74,111.50,0.77,27.00
2010-07-20 21:00,5.9,1.15,111.50,0.77,27.00
2010-07-20 22:00,7.1,1.14,110.50,0.78,28.00
2010-07-20 23:00,6.7,1.23,109.50,0.83,26.00
2010-07-21 00:00,6.7,1.40,107.50,0.79,28.00
2010-07-21 01:00,6.7,1.28,108.50,0.88,27.00
2010-07-21 02:00,6.7,2.08,109.50,1.10,29.00
2010-07-21 03:00,4.7,2.12,114.50,1.16,28.00
2010-07-21 04:00,4.5,1.93,108.50,1.01,29.00
2010-07-21 05:00,4.3,1.72,109.50,0.99,27.00
2010-07-21 06:00,4.7,1.71,108.50,0.90,27.00
2010-07-21 07:00,6.7,1.41,104.50,0.90,27.00
2010-07-21 08:00,5.9,1.44,105.50,0.93,27.00
2010-07-21 09:00,6.1,1.28,103.50,0.85,28.00
2010-07-21 10:00,5.7,1.48,107.50,0.90,26.00
2010-07-21 11:00,5.4,1.87,109.50,0.93,28.00
2010-07-21 12:00,4.9,1.67,109.50,0.90,26.00
2010-07-21 13:00,4.9,1.50,108.50,0.98,28.00
2010-07-21 14:00,4.4,1.83,104.50,1.03,27.00
2010-07-21 15:00,4.7,1.88,104.50,1.19,24.00
2010-07-21 16:00,4.3,2.12,99.50,1.26,30.00
2010-07-21 17:00,4.7,1.76,106.50,1.12,30.00
2010-07-21 18:00,5.1,1.89,107.50,1.10,33.00
2010-07-21 19:00,5.0,1.89,114.50,1.23,30.00
2010-07-21 20:00,5.1,1.86,118.50,1.06,31.00
2010-07-21 21:00,5.6,1.85,119.50,1.12,30.00
2010-07-21 22:00,5.0,1.72,115.50,1.09,32.00
2010-07-21 23:00,5.4,2.06,116.50,1.11,33.00
2010-07-22 00:00,5.7,1.98,116.50,1.12,32.00
2010-07-22 01:00,5.9,2.44,118.50,1.36,33.00
2010-07-22 02:00,5.9,2.38,115.50,1.41,32.00
2010-07-22 03:00,5.7,2.68,118.50,1.48,30.00
2010-07-22 04:00,6.5,2.58,118.50,1.51,28.00
2010-07-22 05:00,5.7,2.19,119.50,1.44,31.00
2010-07-22 06:00,5.9,2.53,121.50,1.33,34.00
2010-07-22 07:00,6.3,2.20,123.50,1.34,32.00
2010-07-22 08:00,6.5,1.95,123.50,1.25,32.00
2010-07-22 09:00,6.5,2.32,120.50,1.19,32.00
2010-07-22 10:00,6.5,2.09,118.50,1.22,30.00
2010-07-22 11:00,5.7,1.92,116.50,1.19,30.00
2010-07-22 12:00,6.1,2.08,117.50,1.16,29.00
